,mol_name,mol_smiles,mol_act,mol_fp
0,CHEMBL444092,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,0.0001,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9685EE0>
1,CHEMBL430266,COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,0.0003,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9685E90>
2,CHEMBL108308,C/C=C1/C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,0.00042,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9685F30>
3,CHEMBL430266,COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,0.0005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9685F80>
4,CHEMBL505512,CO[C@H]([C@H](O)CC(=O)[C@@H](C)[C@@H](O)CC[C@@H](C)[C@@H]1O[C@@]2(CC[C@@H]1C)CC[C@@H](C)[C@H](CC[C@H](C)C(C)=O)O2)[C@H](OC(=O)C[C@@H](O)C1=C(C)C(=O)OC1=O)C(C)C,0.00067,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687030>
5,CHEMBL444092,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,0.00117,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687080>
6,CHEMBL430266,COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,0.0012,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96870D0>
7,CHEMBL280487,C=C1[C@@H]([C@@H](O)C[C@H](C)[C@H]2O[C@@]3(CCCCO3)CC[C@H]2C)O[C@@H]2CC[C@@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)O[C@H]2[C@@H]1O,0.00124,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687120>
8,CHEMBL509059,COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,0.00149,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687170>
9,CHEMBL326115,NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)Cc1ccc(C(F)(F)P(=O)(O)O)cc1,0.0024,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96871C0>
10,CHEMBL108308,C/C=C1/C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,0.003,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687210>
11,CHEMBL269166,O=P(O)(O)c1cccc(-c2ccc(CC(Cc3ccc(C(F)(F)P(=O)(O)O)cc3)(c3ccccc3)n3nnc4ccccc43)cc2)c1,0.003,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687260>
12,CHEMBL269166,O=P(O)(O)c1cccc(-c2ccc(CC(Cc3ccc(C(F)(F)P(=O)(O)O)cc3)(c3ccccc3)n3nnc4ccccc43)cc2)c1,0.003,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96872B0>
13,CHEMBL280487,C=C1[C@@H]([C@@H](O)C[C@H](C)[C@H]2O[C@@]3(CCCCO3)CC[C@H]2C)O[C@@H]2CC[C@@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)O[C@H]2[C@@H]1O,0.0034,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687300>
14,CHEMBL426373,CCCCCCCCCCCCCCCC(=O)C1=C(O)[C@@H](CO)OC1=O,0.0045,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687350>
15,CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,0.005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96873A0>
16,CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,0.005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96873F0>
17,CHEMBL590235,COC(CC(C)C)c1ccc2ccc(-c3ccc(C(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)c(P(=O)(O)O)c2n1,0.005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687440>
18,CHEMBL267488,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)(c2ccccc2)n2nnc3ccccc32)cc1,0.005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687490>
19,CHEMBL1938814,O=C(c1ccccc1)C(Cc1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2c1)(Cc1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2c1)n1nnc2ccccc21,0.005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96874E0>
20,CHEMBL590235,COC(CC(C)C)c1ccc2ccc(-c3ccc(C(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)c(P(=O)(O)O)c2n1,0.005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687530>
21,CHEMBL1162223,NS(=O)(=O)c1cc(-c2ccc(CSCc3ccc(C(F)(F)P(=O)(O)O)c(Br)c3)cc2)ccc1Br,0.006,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687580>
22,CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,0.006999999999999999,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96875D0>
23,CHEMBL411295,O=C(O)c1cccc(/C=C/c2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3n2)c1,0.006999999999999999,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687620>
24,CHEMBL3746639,CO[C@@H](CC(C)C)c1ccc2cc(-c3ccc(C[C@](Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,0.006999999999999999,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687670>
25,CHEMBL1938828,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(F)c(C(F)(F)P(=O)(O)O)cc3c2)cc1,0.009000000000000001,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96876C0>
