,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
0,CHEMBL2263120,CC1(C)CC[C@]2(C(=O)OCCCCCCCCCCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.72,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F957530>,0.4867522559599717
1,CHEMBL2263121,CC1(C)CC[C@]2(C(=O)NC(Cc3ccccc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,3.31,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F957620>,0.0365161737537404
2,CHEMBL168,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,5.0501000000000005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9575D0>,0.006408692544957352
3,CHEMBL508831,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.54,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F957670>,0.5827482523739896
4,CHEMBL506556,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6cccc(C(=O)O)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.62,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9576C0>,0.5379444375946745
5,CHEMBL2262829,COc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)cc1OC,0.82,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9574E0>,0.4404316545059993
6,CHEMBL2262836,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc4c(c3)OCO4)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.44,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9577B0>,0.6440364210831414
7,CHEMBL2262833,COc1ccccc1CC(NC(=O)C[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,0.53,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F957F80>,0.5886049696783552
8,CHEMBL2262832,Cc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)cc1,0.65,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F957800>,0.522045776761016
9,CHEMBL2263114,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc(F)cc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.57,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F957760>,0.5655254386995371
